ObjectNum,diameter,scoped,occ,DDLat,DDLong,Time,Northing,Easting,NEAR_DIST,Site,Horz_Veg,Burn
1,34,y,y,31.297983,-84.455848,6/5/2015 11:24,3467784.651,171021.696,4.769402634,1yr_rough,10.8776,pre-burn
2,4,y,u,31.297967,-84.455932,6/5/2015 11:26,3467783.08,171013.604,6.340302633,1yr_rough,5.30311,pre-burn
3,33,y,y,31.29798,-84.455664,6/5/2015 11:29,3467783.703,171039.168,5.717202634,1yr_rough,19.1323,pre-burn
4,29,y,n,31.297431,-84.455291,6/5/2015 11:37,3467721.652,171072.787,2.231197363,1yr_rough,12.8744,pre-burn
5,30,y,n,31.297305,-84.455979,6/5/2015 11:41,3467709.813,171006.887,9.607102638,1yr_rough,14.7362,pre-burn
6,22,y,n,31.297292,-84.456139,6/5/2015 11:45,3467708.828,170991.587,10.59290264,1yr_rough,14.2078,pre-burn
7,40,y,n,31.296574,-84.456276,6/5/2015 11:52,3467629.563,170975.967,19.85720264,1yr_rough,10.1569,pre-burn
8,37,y,n,31.296875,-84.456157,6/5/2015 12:05,3467662.616,170988.399,13.19539736,1yr_rough,10.6648,pre-burn
9,35,y,y,31.296838,-84.456038,6/5/2015 12:11,3467658.134,170999.584,8.712997364,1yr_rough,10.2901,pre-burn
10,31,y,y,31.293787,-84.459837,6/5/2015 9:58,3467331.055,170627.106,3.608425385,2yr_rough,26.2449,pre-burn
11,61,y,y,31.296346,-84.456159,6/5/2015 11:57,3467603.893,170986.388,24.47289737,1yr_rough,10.2721,pre-burn
12,42,y,y,31.296357,-84.455905,6/5/2015 12:00,3467604.421,171010.596,25.00019737,1yr_rough,10.4936,pre-burn
13,39,y,n,31.296137,-84.456279,6/5/2015 13:04,3467581.1,170974.191,1.679697366,1yr_rough,10.2571,pre-burn
14,25,y,y,31.296306,-84.455792,6/5/2015 13:09,3467598.411,171021.15,18.99089737,1yr_rough,10.5375,pre-burn
15,35,y,y,31.296237,-84.455384,6/5/2015 13:15,3467589.594,171059.792,10.17349737,1yr_rough,11.8526,pre-burn
16,35,y,y,31.295855,-84.455585,6/5/2015 13:34,3467547.78,171039.346,3.359297365,1yr_rough,14.5643,pre-burn
17,51,y,n,31.295837,-84.456153,6/5/2015 13:38,3467547.438,170985.199,3.017397365,1yr_rough,13.3798,pre-burn
18,36,y,y,31.295806,-84.456168,6/5/2015 13:41,3467544.116,170983.623,0.304302637,1yr_rough,13.7423,pre-burn
19,34,y,n,31.295886,-84.456761,6/5/2015 13:45,3467554.772,170927.418,10.35169736,1yr_rough,12.8003,pre-burn
20,35,y,y,31.295203,-84.457017,6/6/2015 5:38,3467479.687,170900.67,5.266797366,1yr_rough,18.0831,pre-burn
21,52,y,n,31.295307,-84.456274,6/6/2015 5:44,3467489.023,170971.808,14.60269737,1yr_rough,19.0653,pre-burn
22,36,y,y,31.295088,-84.456063,6/6/2015 5:47,3467464.11,170991.105,10.31060263,1yr_rough,19.4216,pre-burn
23,9,y,y,31.295183,-84.455643,6/6/2015 5:52,3467473.353,171031.454,1.067802634,1yr_rough,19.7931,pre-burn
24,32,y,n,31.295306,-84.455167,6/6/2015 5:59,3467485.604,171077.266,11.18309737,1yr_rough,18.9941,pre-burn
25,35,y,y,31.294526,-84.455359,6/6/2015 6:06,3467399.715,171056.269,4.705702635,1yr_rough,14.1565,pre-burn
26,26,y,n,31.294628,-84.455663,6/6/2015 6:08,3467411.861,171027.662,7.440297367,1yr_rough,15.1484,pre-burn
27,39,y,n,31.294613,-84.455748,6/6/2015 6:10,3467410.525,171019.472,6.104697365,1yr_rough,15.1068,pre-burn
28,39,y,n,31.294512,-84.455878,6/6/2015 6:16,3467399.685,171006.728,4.735002633,1yr_rough,14.9911,pre-burn
29,44,y,n,31.294776,-84.456301,6/6/2015 6:20,3467430.212,170967.351,25.79129737,1yr_rough,17.3112,pre-burn
