OBJECTID,Shape_Leng,Site
1,172.2379685,Fourth_July_Block
3,670.770925,Fourth_July_Block
5,621.7550122,Fourth_July_Block
7,520.9626939,Fourth_July_Block
9,528.6947737,Fourth_July_Block
11,520.3386504,Fourth_July_Block
14,75.30553491,2yr_rough
16,143.3937702,2yr_rough
18,207.8936684,2yr_rough
20,253.2377144,2yr_rough
22,337.4512483,2yr_rough
24,383.0967271,2yr_rough
26,354.7230643,2yr_rough
27,25.07576805,1yr_rough
28,159.010993,1yr_rough
30,253.0801921,1yr_rough
32,254.4979303,1yr_rough
34,174.0138827,1yr_rough
35,171.3856669,1yr_rough
37,135.1475006,1yr_rough
39,120.9633452,1yr_rough
41,88.56884061,1yr_rough
43,58.24506155,1yr_rough
45,19.49089628,1yr_rough
46,506.4049017,Joseph_Road
47,493.1877663,Joseph_Road
48,476.0357392,Joseph_Road
50,426.6141783,Joseph_Road
52,357.7378435,Joseph_Road
53,328.3101186,Joseph_Road
55,272.643374,Joseph_Road
56,251.6612264,Joseph_Road
58,197.6246718,Joseph_Road
59,178.7747793,Joseph_Road
60,153.3068428,Joseph_Road
61,137.165238,Joseph_Road
64,66.23012003,Joseph_Road
65,40.63774288,Joseph_Road
66,15.04536571,Joseph_Road
70,329.7991582,Fourth_July_Block
74,521.6988771,Fourth_July_Block
78,124.2614007,2yr_rough
80,69.87076795,1yr_rough
