OBJECTID,wiregrass,GPSTime,DDLat,DDLong,Northing,Easting,Horiz_Veg,Site,Burn
1,n,8:55:16,31.263927,-84.469178,3464046.892,169633.102,20,Joseph_Road,Pre-Burn
2,n,8:56:56,31.263897,-84.469036,3464043.118,169646.576,45,Joseph_Road,Pre-Burn
3,n,9:04:38,31.263905,-84.468827,3464043.361,169666.497,35,Joseph_Road,Pre-Burn
4,n,9:05:48,31.263887,-84.468741,3464041.145,169674.61,40,Joseph_Road,Pre-Burn
5,n,9:07:01,31.263926,-84.468631,3464045.17,169685.243,55,Joseph_Road,Pre-Burn
6,n,9:08:30,31.263913,-84.46851,3464043.285,169696.667,45,Joseph_Road,Pre-Burn
7,n,9:11:13,31.263934,-84.468359,3464045.196,169711.18,65,Joseph_Road,Pre-Burn
8,n,9:12:46,31.263948,-84.468212,3464046.34,169725.234,25,Joseph_Road,Pre-Burn
9,n,9:14:28,31.263962,-84.467952,3464047.101,169750.064,25,Joseph_Road,Pre-Burn
10,n,9:17:31,31.263964,-84.467807,3464046.918,169763.838,100,Joseph_Road,Pre-Burn
11,n,9:19:18,31.263936,-84.467642,3464043.236,169779.511,100,Joseph_Road,Pre-Burn
12,n,Auto,31.263951,-84.467443,3464044.368,169798.469,100,Joseph_Road,Pre-Burn
13,n,Auto,31.263954,-84.467214,3464043.99,169820.385,100,Joseph_Road,Pre-Burn
14,n,Auto,31.263952,-84.467039,3464043.235,169837.011,100,Joseph_Road,Pre-Burn
15,n,9:24:28,31.263929,-84.466863,3464040.151,169853.683,40,Joseph_Road,Pre-Burn
16,n,9:25:23,31.263964,-84.466729,3464043.615,169866.548,20,Joseph_Road,Pre-Burn
17,n,9:26:24,31.263967,-84.466588,3464043.563,169880.038,30,Joseph_Road,Pre-Burn
18,n,9:27:54,31.263951,-84.466427,3464041.268,169895.291,25,Joseph_Road,Pre-Burn
19,n,9:29:27,31.263982,-84.466216,3464044.148,169915.576,10,Joseph_Road,Pre-Burn
20,n,9:30:35,31.263997,-84.465994,3464045.107,169936.756,60,Joseph_Road,Pre-Burn
21,n,9:31:59,31.263972,-84.46577,3464041.655,169958.037,60,Joseph_Road,Pre-Burn
22,n,9:33:16,31.264011,-84.465561,3464045.319,169978.002,45,Joseph_Road,Pre-Burn
23,n,9:35:35,31.264026,-84.465305,3464046.253,170002.46,45,Joseph_Road,Pre-Burn
24,n,9:37:13,31.263997,-84.465095,3464042.378,170022.379,50,Joseph_Road,Pre-Burn
25,n,9:38:47,31.264021,-84.464823,3464044.295,170048.442,65,Joseph_Road,Pre-Burn
26,n,9:39:54,31.264037,-84.464634,3464045.443,170066.424,77.5,Joseph_Road,Pre-Burn
27,n,9:41:09,31.263984,-84.464464,3464039.026,170082.441,55,Joseph_Road,Pre-Burn
28,n,9:42:15,31.264017,-84.46433,3464042.316,170095.36,77.5,Joseph_Road,Pre-Burn
29,n,9:44:02,31.264019,-84.464223,3464042.25,170105.566,35,Joseph_Road,Pre-Burn
30,n,9:45:06,31.264037,-84.464079,3464043.794,170119.305,5,Joseph_Road,Pre-Burn
31,n,9:52:58,31.263732,-84.464115,3464010.05,170114.863,45,Joseph_Road,Pre-Burn
32,n,9:54:16,31.263714,-84.464344,3464008.736,170092.928,70,Joseph_Road,Pre-Burn
33,n,9:54:56,31.263691,-84.464536,3464006.812,170074.62,70,Joseph_Road,Pre-Burn
34,n,9:56:16,31.263709,-84.46477,3464009.532,170052.34,70,Joseph_Road,Pre-Burn
35,n,9:58:02,31.263706,-84.465124,3464010.161,170018.603,70,Joseph_Road,Pre-Burn
36,n,9:59:16,31.263689,-84.465386,3464009.108,169993.603,47.5,Joseph_Road,Pre-Burn
37,n,10:00:20,31.263679,-84.465621,3464008.691,169971.213,45,Joseph_Road,Pre-Burn
38,n,10:01:43,31.263679,-84.465832,3464009.303,169951.035,70,Joseph_Road,Pre-Burn
39,n,10:03:06,31.263684,-84.46607,3464010.552,169928.392,45,Joseph_Road,Pre-Burn
40,n,10:04:30,31.263644,-84.466437,3464007.226,169893.258,35,Joseph_Road,Pre-Burn
41,n,10:05:49,31.26364,-84.466738,3464007.715,169864.604,30,Joseph_Road,Pre-Burn
42,n,10:07:10,31.263634,-84.466949,3464007.693,169844.483,55,Joseph_Road,Pre-Burn
43,n,10:08:42,31.263627,-84.467155,3464007.565,169824.787,60,Joseph_Road,Pre-Burn
44,n,10:11:03,31.263618,-84.467336,3464007.122,169807.526,60,Joseph_Road,Pre-Burn
45,n,10:12:38,31.263637,-84.467485,3464009.605,169793.394,5,Joseph_Road,Pre-Burn
46,n,10:13:54,31.263635,-84.46766,3464009.944,169776.751,15,Joseph_Road,Pre-Burn
47,n,10:14:55,31.263647,-84.467843,3464011.857,169759.369,40,Joseph_Road,Pre-Burn
48,n,10:16:04,31.263602,-84.468094,3464007.61,169735.29,45,Joseph_Road,Pre-Burn
49,n,10:17:05,31.263587,-84.468362,3464006.758,169709.686,10,Joseph_Road,Pre-Burn
50,n,10:18:10,31.263592,-84.468602,3464007.979,169686.793,45,Joseph_Road,Pre-Burn
51,y,10:19:25,31.263584,-84.468859,3464007.818,169662.302,25,Joseph_Road,Pre-Burn
52,n,10:20:32,31.263576,-84.469031,3464007.55,169645.909,15,Joseph_Road,Pre-Burn
53,y,10:35:09,31.263253,-84.46881,3463971.018,169665.861,15,Joseph_Road,Pre-Burn
54,y,10:36:21,31.263281,-84.468582,3463973.462,169687.653,25,Joseph_Road,Pre-Burn
55,y,10:42:41,31.263296,-84.468364,3463974.422,169708.493,55,Joseph_Road,Pre-Burn
56,y,10:43:57,31.2633,-84.468145,3463974.214,169729.326,10,Joseph_Road,Pre-Burn
57,y,10:45:59,31.263286,-84.467991,3463972.23,169743.986,5,Joseph_Road,Pre-Burn
58,y,10:46:56,31.263295,-84.467742,3463972.476,169767.735,15,Joseph_Road,Pre-Burn
59,n,10:48:02,31.263322,-84.46757,3463974.95,169784.231,15,Joseph_Road,Pre-Burn
60,n,10:49:46,31.263332,-84.467243,3463975.073,169815.444,30,Joseph_Road,Pre-Burn
61,y,10:52:09,31.263334,-84.466996,3463974.502,169838.961,15,Joseph_Road,Pre-Burn
62,y,10:53:59,31.263339,-84.466771,3463974.434,169860.426,20,Joseph_Road,Pre-Burn
63,y,10:54:54,31.263334,-84.466534,3463973.148,169883.017,20,Joseph_Road,Pre-Burn
64,y,10:56:16,31.263339,-84.466309,3463973.065,169904.443,25,Joseph_Road,Pre-Burn
65,y,10:57:26,31.263338,-84.466102,3463972.273,169924.187,35,Joseph_Road,Pre-Burn
66,n,10:59:18,31.263367,-84.465799,3463974.611,169953.16,40,Joseph_Road,Pre-Burn
67,n,11:00:25,31.263359,-84.46562,3463973.234,169970.129,40,Joseph_Road,Pre-Burn
68,n,11:02:14,31.263392,-84.465411,3463976.195,169990.205,45,Joseph_Road,Pre-Burn
69,y,11:03:40,31.263388,-84.46513,3463974.949,170016.892,55,Joseph_Road,Pre-Burn
70,y,11:05:12,31.263397,-84.464894,3463975.241,170039.462,25,Joseph_Road,Pre-Burn
71,n,11:09:01,31.263375,-84.464666,3463972.107,170061.138,35,Joseph_Road,Pre-Burn
72,n,11:11:17,31.263401,-84.464435,3463974.285,170083.239,80,Joseph_Road,Pre-Burn
73,n,11:12:42,31.263409,-84.464262,3463974.696,170099.703,5,Joseph_Road,Pre-Burn
74,n,11:14:24,31.263427,-84.464187,3463976.509,170106.888,25,Joseph_Road,Pre-Burn
75,n,11:15:16,31.26338,-84.464078,3463970.919,170117.192,15,Joseph_Road,Pre-Burn
76,n,11:22:13,31.262767,-84.464132,3463903.116,170109.858,35,Joseph_Road,Pre-Burn
77,n,11:23:56,31.262767,-84.464307,3463903.619,170093.17,55,Joseph_Road,Pre-Burn
78,y,11:25:09,31.262763,-84.464498,3463903.721,170074.969,20,Joseph_Road,Pre-Burn
79,y,11:26:31,31.262753,-84.464774,3463903.443,170048.636,25,Joseph_Road,Pre-Burn
80,y,11:27:57,31.262754,-84.465114,3463904.636,170016.231,30,Joseph_Road,Pre-Burn
81,y,11:28:48,31.262732,-84.465315,3463902.75,169997,25,Joseph_Road,Pre-Burn
82,y,11:30:28,31.262742,-84.4655,3463904.361,169979.42,15,Joseph_Road,Pre-Burn
83,y,11:31:24,31.262738,-84.465761,3463904.743,169954.5,15,Joseph_Road,Pre-Burn
84,y,11:32:33,31.26272,-84.466006,3463903.472,169931.186,20,Joseph_Road,Pre-Burn
85,y,11:33:26,31.26275,-84.466262,3463907.596,169906.841,25,Joseph_Road,Pre-Burn
86,y,11:39:59,31.262655,-84.466626,3463898.176,169871.839,15,Joseph_Road,Pre-Burn
87,y,11:41:04,31.262714,-84.46684,3463905.325,169851.689,40,Joseph_Road,Pre-Burn
88,y,11:42:15,31.262679,-84.467061,3463902.066,169830.518,25,Joseph_Road,Pre-Burn
89,y,11:44:00,31.26272,-84.467256,3463907.198,169812.065,30,Joseph_Road,Pre-Burn
90,y,11:45:35,31.262655,-84.467453,3463900.633,169793.079,25,Joseph_Road,Pre-Burn
91,y,11:47:37,31.262694,-84.467748,3463905.825,169765.092,15,Joseph_Road,Pre-Burn
92,n,11:48:42,31.262651,-84.468021,3463901.846,169738.91,0,Joseph_Road,Pre-Burn
93,n,11:49:20,31.262648,-84.468242,3463902.224,169717.811,0,Joseph_Road,Pre-Burn
94,y,11:50:48,31.262618,-84.468438,3463899.417,169699.016,0,Joseph_Road,Pre-Burn
95,y,12:18:52,31.257731,-84.464198,3463344.632,170086.056,5,Joseph_Road,Pre-Burn
96,y,12:19:51,31.258029,-84.464173,3463377.673,170089.436,5,Joseph_Road,Pre-Burn
97,y,12:21:00,31.258023,-84.464287,3463377.284,170078.552,10,Joseph_Road,Pre-Burn
98,y,12:23:51,31.258045,-84.464451,3463380.234,170063.05,5,Joseph_Road,Pre-Burn
